index_origin,author,time,toefl,gre_total,gre_v,gre_q,gre_aw,district,season,type,offertype,major_school_apply,major_school,gpa,graduated,gre_raw,gre_sub,extrainfo,college_apply,major_apply,college_before,major_before,cross,gpa_measure,rl,intern,research,paper,first,sci,exchange
10001,leucocyte,17,92,319,149,170,3, 美国,Fall,PhD,Rej,CS@Princeton, CS @ SJTU,3.7,,149/170/3.0,,,Princeton,CS, SJTU,CS,1,4,0,0,0,0,0,0,0
10003,yycenty,17,96,327,,,3.5, 美国,Fall,MS,AD小奖,Envir@CMU, 环工 @ Fudan,3.55,,327+3.5,,,CMU,Envir, Fudan,环工,0,4,0,0,0,0,0,0,0
10004,JOJOJie,17,101,322,,,3.5, 美国,Fall,PhD,Rej,CS@CS@UWM, EE @ BNU,91,": EE @ BNU, GPA  91:",322+3.5,,4篇sci论文,UWM,CS, BNU,EE,0,100,0,0,0,1,1,1,0
10008,smallyeye,17,103,325,,,3.5, 美国,Fall,PhD,Offer,ME@ME@UMN, 能源与动力工程 @ ,91.87,,325+3.5,,,UMN,ME, ,能源与动力工程,0,100,0,0,0,0,0,0,0
10013,wannagotousa,17,108,328,,,3.5, 美国,Fall,MS,AD无奖,CS@NCSU, 电信工程 @ BUPT,78,,328 3.5,,,NCSU,CS, BUPT,电信工程,0,100,0,1,0,0,0,0,0
10015,金正恩大将军,17,92,314,150,164,3, 美国,Fall,PhD,AD无奖,EE@Arizona State University, 电子科学与技术 @ SJTU,77,": 电子工程学系 @ 国立交通大学, GPA  3.83/4.3: 海外",314(150/164/3.0),,,Arizona State University,EE, SJTU,电子科学与技术,0,100,0,0,0,0,0,0,0
10018,vanessazhang52,17,114,331,,,4.5, 美国,Fall,MS,Rej,CS@Princeton, IE @ ,NA,,331+AW4.5,,,Princeton,CS, ,IE,0,NA,0,0,0,0,0,0,0
10020,长牙期少女boom,17,93,320,,,, 美国,Fall,MS,AD无奖,Other@project management@NEU, 经济学 @ ,3.39,,320,,,NEU,Other, ,经济学,0,4,0,0,0,0,0,0,0
10024,1jiaqi3,17,111,327,157,170,4, 美国,Fall,MS,Rej,CS@CS@wisc,CS @ 美本top15,3.85,,157 + 170 + 4.0,, 一篇会议一作，一篇二作,wisc,CS,美本top15,CS,1,4,0,0,0,1,1,0,0
10025,路怒路怒路怒,17,waived,321,,,, 美国,Fall,MS,Offer,CS@Wisconsin, cs @ ,NA,,321,,,Wisconsin,CS, ,cs,0,NA,0,0,0,0,0,0,0
10027,tiesto1114,17,waived,315,145,170,3, 美国,Fall,MS,AD无奖,CS@NCSU, EE @ 台灣大學,84.3,": EE @ , GPA  3.9: 海外",145+170+3.0,,,NCSU,CS, 台灣大學,EE,0,100,0,0,0,0,0,0,0
1003,shadowsjf,17,101,328,158,170,3, 美国,Fall,MS,AD无奖,Other@MST@Stanford, 电信工程及管理 @ BUPT,NA,,G：158+170+3.0,, nlp科研 实习 一些项目,Stanford,Other, BUPT,电信工程及管理,0,NA,0,1,1,0,0,0,0
10031,james47,17,107,325,157,168,3.5, 美国,Fall,MS,AD无奖,CS@cs@UW-Madison, CS @ ,89,,157+168+3.5,, 算法竞赛、腾讯实习,UW-Madison,CS, ,CS,1,100,0,1,0,0,0,0,0
10034,Fama,17,101,316,,,3, 美国,Fall,MS,AD无奖,MIS@MSIM@UIUC, 电子商务 @ ,3.2,,316  AW:3,,,UIUC,MIS, ,电子商务,0,4,0,0,0,0,0,0,0
10043,hexxx544,17,waived,323,153,170,3, 美国,Fall,混合,Offer,CS@University of Wisconsin Madison, Computer Science & Mathematics @ ,3.98,,153+170+3.0,,"2 year research in CV/Robotics, (top1%) Scholarships from CS & Math scholarships, NorthAmerica Regional Math Competition 3rd Place",University of Wisconsin Madison,CS, ,Computer Science & Mathematics,0,4,0,0,1,0,0,0,0
10044,544756247,17,105,332,162,170,3.5, 美国,Fall,MS,AD无奖,CE@UCSD, 光电科学与工程 @ SYSU,86,,332,,,UCSD,CE, SYSU,光电科学与工程,0,100,0,0,0,0,0,0,0
10045,aaa952,17,97,330,160,170,3, 美国,Fall,MS,AD无奖,MFE/Fin/FinMath@FinMath@NCSU, 统计 @ ,3.74,,160+170+3,,,NCSU,MFE/Fin/FinMath, ,统计,0,4,0,0,0,0,0,0,0
10054,AIBilly,17,94,309,142,167,3, 美国,Fall,MS,Rej,CS@SYR, CS @ BUPT,2.7,,309 （142+167+3.0）,,,SYR,CS, BUPT,CS,1,4,0,0,0,0,0,0,0
10058,shawnwang0001,17,106,332,,,, 美国,Fall,PhD,Offer,CS@UW-Madison, CS @ SJTU,3.8,,332,,,UW-Madison,CS, SJTU,CS,1,4,0,0,0,0,0,0,0
1006,ddh,17,101,318,,,3.5, 美国,Fall,MS,AD无奖,CS@Rutgers, 信息工程 @ 华南理工大学,3.24,,318+3.5,,,Rutgers,CS, 华南理工大学,信息工程,0,4,0,0,0,0,0,0,0
