"yquancheng" "ysuoxie"
"United States Air Force Academy" "AFA"
"U.S. Naval Academy" "Annapolis"
"Texas A&M University" "A&M"
"Texas A&M University–Corpus Christi" "A&M-CC"
"North Carolina A&T State University" "A&T"
"Apprentice School" "Newport News"
"Austin Peay State University" "APSU"
"Alabama State University" "ALASU"
"U.S. Military Academy" "Army"
"Arizona State University" "ASU"
"Auburn University" "AU"
"Auburn University" "Auburn"
"Auburn University Montgomery" "AUM"
"University of Alabama" "Bama"
"Boston College" "BC"
"Bowling Green State University" "BGSU"
"Black Hills State University" "BHSU"
"Bob Jones University" "BJU"
"Bryn Mawr College" "BMC"
"St. Bonaventure University" "Bona"
"Brown University" "Brown"
"Birmingham-Southern College" "BSC"
"Ball State University" "BSU"
"Binghamton University" "SUNY-Binghamton"
"Brigham Young University" "BYU"
"California Baptist University" "CBU"
"College of Charleston" "C of C"
"California Polytechnic State University" "Cal Poly"
"California State Polytechnic University" "Cal Poly Pomona"
"California Institute of Technology" "Caltech"
"California University of Pennsylvania" "CUP"
"California University of Pennsylvania" "Cal U"
"California State University (various campuses)" "Cal State"
"Capitol College" "Capitol"
"Carleton College" "Carleton"
"University of South Carolina" "Carolina"
"North Carolina Central University" "Central"
"Colorado College" "CC"
"City College of New York" "CCNY"
"Central Connecticut State University" "CCSU"
"Coastal Carolina University" "CCU"
"Community College of Vermont" "CCV"
"Claremont Graduate University" "CGU"
"University of North Carolina at Chapel Hill" "Chapel Hill"
"University of North Carolina at Chapel Hill" "UNC-Chapel Hill"
"University of North Carolina at Charlotte" "Charlotte"
"University of Tennessee at Chattanooga" "Chatt"
"University of Tennessee at Chattanooga" "Chattanooga"
"Chattanooga State Community College" "Chatt State"
"California State University" "Chico State"
"New York City College of Technology" "City Tech"
"The Culinary Institute of America" "CIA"
"Claremont McKenna College" "CMC"
"Carnegie Mellon University" "CMU"
"Christopher Newport University" "CNU"
"United States Coast Guard Academy" "Coast Guard"
"University of Maryland, College Park" "College Park"
"University of Maryland" "Maryland"
"University of Colorado Boulder" "Colorado"
"University of Colorado Colorado Springs" "Colorado Springs"
"College of Saint Benedict/Saint John's University" "CSB/SJU"
"Castleton State College" "CSC"
"College of Saint Elizabeth" "CSE"
"College of Staten Island" "CSI"
"California State University" "CSU"
"California State University" "CSUF"
"California State University" "CSUEB"
"California State University" "CSULA"
"Colorado State University-Pueblo" "CSU-Pueblo"
"California State University" "CSUS"
"Cornell University" "Cornell"
"University of the Cumberlands" "Cumberlands"
"City University of New York" "CUNY"
"Syracuse University" "Syracuse"
"Syracuse University" "Syracuse U"
"Syracuse University" "雪城"
"Davidson College" "DC"
"De Anza College" "De Anza"
"DePaul University" "DPU"
"Dakota State University" "DSU"
"Duke University" "DU"
"Duke University" "Duke"
"East Carolina University" "ECU"
"Eastern Illinois University" "EIU"
"Eastern Mennonite University" "EMU"
"Eastern Michigan University" "EMU"
"Eastern Nazarene College" "ENC"
"East Tennessee State University" "ETSU"
"Eastern Washington University" "EWU"
"Eastern Kentucky University" "EKU"
"Franklin & Marshall College" "F&M"
"Florida A&M University" "FAMU"
"Florida Atlantic University" "FAU"
"Founders College" "FC"
"Fairleigh Dickinson University" "FDU"
"Florida Gulf Coast University" "FGCU"
"Florida International University" "FIU"
"Foothill College" "Foothill"
"Fresno Pacific University" "FPU"
"California State University" "Fresno State"
"Florida State University" "FSU"
"Fordham University" "FU"
"University of Wisconsin–Green Bay" "GB"
"Georgia College & State University" "GCSU"
"Georgia College & State University" "GC&SU"
"Grand Canyon University" "GCU"
"Georgetown University" "Georgetown"
"University of Georgia" "Georgia"
"Georgia College & State University" "Georgia College"
"Georgia Institute of Technology" "GaTech"
"Georgia Institute of Technology" "Georgia Tech"
"Georgia Gwinnett College" "GGC"
"George Mason University" "GMU"
"Gonzaga University" "GONZ"
"Georgia Southern University" "GSU"
"Georgia State University" "GS"
"Georgia Southern University" "GS"
"Georgia Institute of Technology" "GT"
"Grand Valley State University" "GVSU"
"George Washington University" "GWU"
"George Washington University" "GW"
"Hampton University (formerly Hampton Institute)" "HIU"
"Harvey Mudd College" "HMC"
"Johns Hopkins University" "Hopkins"
"Hampton University" "HU"
"Humboldt State University" "HSU"
"Ithaca College" "IC"
"Purdue University" "Purdue"
"Illinois Institute of Technology" "IIT"
"Indiana University-Purdue University Fort Wayne" "IPFW"
"Indiana University Bloomington" "IUB"
"Indiana University Bloomington" "IU"
"Indiana University of Pennsylvania" "IUP"
"Indiana University-Purdue University Indianapolis" "IUPUI"
"Illinois Wesleyan University" "IWU"
"Iowa Wesleyan University" "IW"
"Johns Hopkins University" "JHU"
"James Madison University" "JMU"
"Johnson and Wales University" "JWU"
"Johnson State College" "JSC"
"Jackson State University" "JSU"
"Jacksonville University" "JU"
"Kansas State University" "K-State"
"Kansas State University" "KSU"
"University of Kansas" "KU"
"Louisiana Tech University" "LA Tech"
"Louisburg College" "LC"
"Lock Haven University" "LHU"
"Long Island University" "LIU"
"Lincoln Memorial University" "LMU"
"California State University" "Long Beach State"
"Lyndon State College" "LSC"
"Louisiana State University" "LSU"
"Lake Superior State University" "LSSU"
"Lawrence Technological Universit" "LTU"
"Liberty University" "LU"
"Loyola University Chicago" "LUC"
"University of Wisconsin–Madison" "Madison"
"University of Wisconsin–Madison" "UW-Madison"
"University of Wisconsin–Madison" "WISC"
"University of Wisconsin–Madison" "Wisconsin–Madison"
"University of Wisconsin–Madison" "Wisconsin"
"University of Mary Washington" "Mary Wash"
"George Mason University" "Mason"
"Massachusetts College of Liberal Arts" "MCLA"
"University of Memphis" "Memphis"
"U.S. Merchant Marine Academy" "Kings Point"
"Metropolitan State College of Denver" "Metro State"
"Mount Holyoke College" "MoHo"
"Mount Holyoke College" "MHC"
"University of Wisconsin–Milwaukee" "Milwaukee"
"Missouri University of Science and Technology" "Missouri S&T"
"Massachusetts Institute of Technology" "MIT"
"University of Missouri" "Mizzou"
"Marymount Manhattan College" "MMC"
"Mt. San Antonio College" "Mt. SAC"
"Michigan State University" "MSU"
"University of Michigan" "UMich"
"University of Michigan" "Michigan"
"University of Michigan" "U of M"
"Middle Tennessee State University" "MTSU"
"Michigan Technological University" "MTU"
"Miami University" "MU"
"Harvey Mudd College" "Mudd"
"Manhattanville College" "MVille"
"Mississippi Valley State University" "MVSU"
"Mississippi University for Women" "MUW"
"U.S. Naval Academy" "Navy"
"Northern Arizona University" "NAU"
"North Carolina Central University" "NCCU"
"North Carolina State University" "NCSU"
"North Carolina A&T State University" "NC A&T"
"University of North Dakote" "ND"
"North Dakota State University" "NDSU"
"Northeastern University" "NE"
"Northeastern University" "NEU"
"New College of Florida" "New College"
"New College of Florida" "NCF"
"Northern Illinois University" "NIU"
"Northern Kentucky University" "NKU"
"New Mexico State University" "NMSU"
"Northern Michigan University" "NMU"
"University of North Dakota" "NoDak"
"Northern Virginia Community College" "Nova"
"Northeastern State University" "NSU"
"Niagara University" "NU"
"Northwestern University" "NWU"
"Northwestern University" "NW"
"Northwestern University" "Northwestern U"
