sortedNum,requireLen,example,tipsLen,quesClass,Fundamentals,Algorithms,Common.Data.Structures,Advanced.Data.Structures,Techniques,Math,Other,otherCom,huawei,bytedance,microsoft,google,amazon,tencent,recursion,linked-list,math,hash-table,string,binary-search,divide-and-conquer,dynamic-programming,greedy,two-pointers,sorting,backtracking,heap-priority-queue,simulation,depth-first-search,binary-tree,breadth-first-search,union-find,graph,geometry,database,topological-sort,prefix-sum,shortest-path,bitmask,difficulty,require,tips,ifcom,topicNum
0,114,3,59,题库,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EASY,给定一个整数数组和一个整数目标值，请你在该数组中找出的那整数，并返回它们的数组下标。你可以假设每种输入只会对应一个答案。但是，数组中同一个元素在答案里不能重复出现。你可以按任意顺序返回答案。你可以想出一个时间复杂度小于的算法吗？,2<=nums.length<=10-10<=nums[i]<=10-10<=target<=10只会存在一个有效答案,1,2
1,99,3,51,题库,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MEDIUM,给你两个的链表，表示两个非负的整数。它们每位数字都是按照的方式存储的，并且每个节点只能存储数字。请你将两个数相加，并以相同形式返回一个表示和的链表。你可以假设除了数字0之外，这两个数都不会以0开头。,"每个链表中的节点数在范围[1,100]0<=Node.val<=9题目数据保证列表表示的数字不含前导零",1,3
2,26,3,33,题库,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MEDIUM,给定一个字符串，请你找出其中不含有重复字符的的长度。,0<=s.length<=5*10由英文字母、数字、符号和空格组成,1,3
3,51,2,88,题库,1,2,0,0,0,0,0,0,0,1,0,1,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HARD,给定两个大小分别为和的正序（从小到大）数组和。请你找出并返回这两个正序数组的。算法的时间复杂度应该为。,"nums1.length==mnums2.length==n0<=m<=10000<=n<=10001<=m+n<=2000-10<=nums1[i],nums2[i]<=10",1,3
4,49,2,28,题库,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MEDIUM,给你一个字符串，找到中最长的回文子串。如果字符串的反序与原始字符串相同，则该字符串称为回文字符串。,1<=s.length<=1000仅由数字和英文字母组成,1,2
5,107,3,55,题库,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MEDIUM,将一个给定字符串根据给定的行数，以从上往下、从左到右进行Z字形排列。比如输入字符串为行数为时，排列如下：之后，你的输出需要从左往右逐行读取，产生出一个新的字符串，比如：。请你实现这个将字符串进行指定行数变换的函数：,"1<=s.length<=1000由英文字母（小写和大写）、','和'.'组成1<=numRows<=1000",1,1
6,57,4,8,题库,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MEDIUM,给你一个32位的有符号整数，返回将中的数字部分反转后的结果。如果反转后整数超过32位的有符号整数的范围，就返回0。,<=x<=2-1,1,1
7,52,3,94,题库,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MEDIUM,请你来实现一个函数，使其能将字符串转换成一个32位有符号整数（类似C/C++中的函数）。函数的算法如下：,本题中的空白字符只包括空格字符''除前导空格或数字后的其余字符串外，请勿忽略任何其他字符。0<=s.length<=200由英文字母（大写和小写）、数字（0-9'''+''-'和'.'组成,1,1
8,77,3,25,题库,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EASY,给你一个整数，如果是一个回文整数，返回；否则，返回。回文数是指正序（从左向右）和倒序（从右向左）读都是一样的整数。你能不将整数转为字符串来解决这个问题吗？,例如，121是回文，而123不是。<=x<=2-1,1,1
9,57,3,111,题库,1,2,0,0,0,0,0,1,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HARD,给你一个字符串和一个字符规律，请你来实现一个支持和的正则表达式匹配。所谓匹配，是要涵盖字符串的，而不是部分字符串。,'.'匹配任意单个字符'*'匹配零个或多个前面的那一个元素1<=s.length<=201<=p.length<=20只包含从a-z的小写字母。只包含从a-z的小写字母，以及字符和保证每次出现字符时，前面都匹配到有效的字符,1,3
